Unnamed: 0,AvgSpeed,Country,DangerLvl,NoAccidents,NoFatalities,NoJourneys,PoliceActivity,RoadCond,Season,Weather,Weekend
57,low,UK,low,medium,low,medium,regular,good,winter,bad,working
59,low,Europe,low,medium,low,medium,regular,bad,fall,bad,working
61,low,UK,low,low,low,medium,regular,bad,winter,bad,working
65,low,UK,low,low,low,low,regular,bad,winter,bad,working
66,high,US,low,medium,low,medium,regular,good,winter,bad,working
67,low,Europe,high,low,high,low,regular,good,fall,good,weekend
68,low,Europe,low,low,low,low,regular,bad,spring,bad,working
71,high,UK,low,medium,medium,medium,regular,bad,winter,bad,weekend
73,low,US,low,low,low,medium,increased,bad,spring,good,working
74,high,Europe,high,high,low,medium,regular,good,fall,good,working
75,low,US,low,low,low,low,regular,bad,fall,bad,working
78,high,US,low,medium,medium,medium,regular,good,winter,good,weekend
81,low,Europe,low,low,low,low,increased,bad,winter,bad,holiday
83,low,Europe,low,medium,low,medium,regular,good,summer,good,working
85,high,UK,low,low,low,medium,regular,good,summer,good,working
86,high,Europe,low,low,medium,medium,regular,good,fall,bad,working
87,high,UK,low,low,low,low,regular,good,winter,bad,weekend
90,low,Europe,low,high,high,low,regular,bad,winter,bad,working
91,high,UK,high,medium,low,medium,increased,good,spring,good,working
92,high,Europe,low,low,low,medium,regular,good,fall,good,working
93,low,UK,low,medium,low,low,regular,bad,fall,bad,working
98,high,Europe,high,medium,low,low,regular,bad,summer,bad,weekend
99,low,Europe,high,high,high,medium,regular,bad,fall,bad,working
102,low,UK,low,medium,low,medium,regular,good,spring,bad,weekend
103,low,UK,low,low,low,low,regular,good,fall,good,weekend
105,high,US,low,medium,high,medium,regular,good,winter,good,working
106,high,UK,low,medium,high,medium,regular,good,summer,good,working
107,high,Europe,low,medium,low,medium,regular,bad,summer,good,weekend
108,high,Europe,low,medium,low,medium,regular,good,summer,good,working
112,high,Europe,low,high,medium,medium,regular,bad,summer,good,holiday
113,high,US,low,low,low,low,regular,good,summer,good,weekend
116,low,UK,low,medium,medium,low,regular,bad,spring,bad,working
117,high,UK,low,medium,high,medium,regular,good,summer,good,weekend
119,low,US,low,medium,high,medium,regular,good,spring,good,working
120,low,UK,low,low,low,medium,regular,bad,fall,bad,weekend
121,low,US,low,low,medium,medium,regular,good,summer,good,weekend
122,low,US,low,low,low,low,regular,good,fall,good,weekend
123,low,US,low,low,low,medium,regular,bad,fall,bad,working
124,high,US,low,low,low,medium,regular,bad,fall,good,weekend
125,high,Europe,low,low,low,medium,regular,good,summer,bad,working
126,low,Europe,low,low,low,low,regular,bad,fall,good,working
127,low,Europe,low,low,low,low,regular,bad,fall,bad,weekend
128,low,Europe,low,low,low,low,regular,good,fall,good,weekend
130,high,Europe,low,low,low,medium,regular,good,summer,good,working
131,low,UK,low,high,high,medium,regular,good,fall,good,working
133,low,US,low,low,low,medium,regular,good,summer,good,working
134,high,Europe,low,high,high,medium,regular,good,summer,good,working
135,high,Europe,high,medium,low,medium,regular,good,summer,good,working
136,low,US,low,low,low,medium,increased,good,spring,good,working
138,low,Europe,low,medium,low,medium,regular,good,spring,good,working
143,low,Europe,low,medium,low,medium,regular,bad,fall,good,working
144,low,Europe,low,low,low,low,regular,bad,fall,good,working
145,low,Europe,low,low,low,medium,regular,bad,spring,bad,working
146,high,Europe,low,low,low,medium,regular,good,fall,good,holiday
150,low,US,low,low,medium,medium,regular,bad,summer,good,working
151,high,Europe,low,low,low,medium,regular,good,spring,bad,working
154,high,UK,high,medium,low,medium,regular,bad,fall,bad,working
156,low,UK,low,low,low,medium,regular,bad,fall,bad,working
159,low,US,low,medium,low,medium,regular,bad,spring,bad,working
161,low,US,low,low,low,low,increased,bad,summer,bad,working
163,high,Europe,low,high,high,medium,regular,good,spring,good,working
166,high,US,high,low,low,low,regular,bad,winter,bad,working
167,low,UK,low,low,low,low,regular,bad,spring,bad,working
168,low,US,low,medium,low,medium,regular,bad,winter,bad,working
169,low,UK,low,medium,medium,low,regular,good,fall,good,working
170,low,Europe,low,low,low,low,increased,bad,spring,bad,weekend
174,low,Europe,low,low,low,medium,regular,bad,spring,bad,holiday
176,low,US,low,medium,high,medium,regular,bad,fall,bad,working
179,low,Europe,low,medium,high,medium,regular,bad,spring,bad,working
180,high,US,low,medium,low,medium,regular,good,fall,good,working
183,low,US,low,low,low,medium,regular,bad,fall,bad,working
186,low,Europe,low,low,medium,medium,regular,good,winter,good,working
190,high,Europe,low,high,low,medium,regular,good,summer,good,weekend
196,low,Europe,low,medium,low,medium,regular,good,fall,good,weekend
197,low,Europe,low,low,low,low,regular,good,spring,good,weekend
198,low,US,low,medium,medium,medium,regular,good,summer,good,working
201,high,UK,low,medium,high,medium,regular,good,summer,good,working
203,low,UK,low,low,low,medium,regular,good,spring,good,weekend
206,high,UK,low,high,low,medium,regular,good,spring,good,weekend
207,high,Europe,low,low,medium,medium,regular,bad,winter,bad,working
210,high,US,low,low,low,medium,regular,good,summer,good,working
217,low,Europe,low,low,low,low,regular,bad,winter,bad,working
223,high,Europe,low,low,medium,medium,regular,good,fall,good,working
224,high,Europe,low,low,low,low,regular,good,spring,good,working
225,low,UK,low,low,low,low,regular,bad,winter,bad,working
226,low,US,low,medium,medium,medium,regular,bad,winter,bad,working
227,high,Europe,low,medium,high,medium,regular,good,spring,good,working
228,high,US,low,high,medium,low,increased,good,spring,good,holiday
229,low,Europe,low,medium,high,medium,regular,bad,winter,bad,holiday
230,high,Europe,low,low,medium,medium,regular,good,winter,good,working
231,low,UK,low,medium,high,low,regular,bad,winter,bad,weekend
233,low,Europe,low,low,low,low,regular,bad,winter,bad,weekend
236,low,US,low,low,low,medium,regular,bad,winter,bad,working
237,low,Europe,low,medium,high,medium,regular,good,spring,good,working
240,low,UK,low,high,medium,medium,regular,bad,winter,bad,working
242,low,Europe,low,medium,low,medium,regular,bad,winter,good,working
244,high,UK,low,low,low,low,regular,bad,winter,bad,weekend
246,high,UK,low,high,low,medium,regular,good,spring,good,working
247,low,Europe,low,low,low,low,regular,good,fall,good,working
248,high,Europe,low,low,medium,medium,regular,good,summer,good,working
249,low,Europe,high,medium,high,medium,regular,bad,fall,good,working
250,high,Europe,low,low,medium,medium,regular,good,spring,good,working
252,low,Europe,low,medium,low,medium,regular,bad,spring,bad,working
256,low,Europe,low,low,low,low,regular,good,winter,bad,working
257,high,Europe,low,medium,medium,medium,regular,good,summer,good,weekend
259,high,US,low,high,medium,medium,regular,good,summer,good,working
261,low,Europe,low,medium,low,medium,regular,bad,spring,bad,weekend
263,low,UK,low,low,low,low,regular,good,fall,bad,weekend
264,low,US,low,medium,low,medium,regular,good,summer,good,working
267,high,Europe,low,low,low,low,regular,good,fall,good,working
268,high,UK,low,low,low,medium,regular,good,summer,good,working
270,high,UK,low,low,medium,medium,regular,good,summer,good,working
271,high,Europe,low,high,high,low,regular,good,spring,good,working
273,high,Europe,low,high,medium,low,regular,good,winter,good,working
274,high,Europe,low,low,medium,medium,regular,good,fall,good,weekend
275,low,US,low,low,low,low,regular,bad,winter,bad,weekend
276,high,Europe,high,medium,medium,low,regular,good,summer,good,working
278,high,US,low,high,medium,medium,regular,good,spring,good,holiday
279,low,UK,low,medium,medium,medium,increased,good,summer,good,working
280,low,US,low,low,medium,medium,regular,good,summer,good,weekend
281,low,Europe,low,medium,low,medium,regular,good,summer,good,holiday
282,high,UK,low,high,medium,medium,regular,good,fall,good,working
287,low,US,low,medium,high,medium,regular,bad,fall,good,working
294,low,Europe,low,low,low,low,regular,bad,winter,bad,working
295,high,Europe,low,medium,medium,medium,regular,good,summer,good,working
296,low,Europe,low,medium,high,medium,regular,good,summer,good,working
297,low,US,low,low,low,medium,regular,bad,spring,good,working
302,low,US,low,low,low,medium,regular,bad,fall,good,weekend
304,high,Europe,low,high,high,medium,regular,good,summer,good,weekend
305,high,Europe,low,medium,low,medium,regular,good,fall,good,working
306,low,Europe,low,low,low,medium,regular,good,winter,good,working
308,low,Europe,low,low,low,low,regular,bad,summer,bad,working
310,high,Europe,low,low,low,low,regular,good,spring,bad,weekend
312,high,US,high,medium,high,medium,regular,bad,fall,good,weekend
313,high,US,low,high,high,medium,regular,good,spring,good,working
314,high,Europe,low,low,medium,low,regular,bad,winter,bad,working
315,low,Europe,low,low,low,low,regular,bad,spring,bad,working
316,low,US,low,low,medium,low,regular,bad,spring,bad,working
317,low,US,low,low,medium,low,regular,bad,summer,bad,weekend
320,low,UK,low,high,high,medium,regular,bad,winter,bad,weekend
323,low,US,low,low,low,low,regular,bad,winter,good,holiday
324,high,UK,low,low,medium,medium,regular,bad,winter,good,working
328,low,US,low,low,low,medium,regular,bad,winter,bad,weekend
335,high,US,high,low,high,medium,regular,bad,winter,bad,holiday
336,low,US,low,medium,low,medium,regular,good,winter,good,working
337,low,US,low,high,high,medium,regular,good,spring,good,working
339,high,US,low,low,medium,medium,regular,good,fall,good,weekend
342,high,Europe,low,medium,low,medium,regular,good,fall,good,working
345,high,Europe,low,medium,low,medium,regular,good,spring,good,weekend
347,low,US,low,low,medium,medium,regular,bad,summer,bad,working
348,high,Europe,low,low,medium,medium,regular,good,fall,good,holiday
349,low,UK,low,low,low,low,regular,bad,spring,bad,weekend
350,low,Europe,low,low,low,low,regular,bad,summer,bad,weekend
351,high,UK,high,high,high,medium,regular,good,summer,good,working
353,high,Europe,low,medium,low,medium,regular,good,spring,good,working
354,low,UK,low,low,low,low,regular,bad,spring,bad,weekend
355,low,US,low,high,high,medium,regular,bad,fall,bad,holiday
356,low,Europe,low,low,low,low,regular,good,winter,bad,weekend
360,high,Europe,low,medium,medium,medium,regular,good,fall,good,working
361,low,Europe,low,low,high,medium,regular,bad,fall,bad,working
362,high,Europe,low,low,low,medium,regular,good,fall,bad,working
364,low,Europe,low,low,medium,medium,regular,good,winter,good,working
367,high,US,low,low,low,low,regular,bad,spring,bad,working
372,low,US,low,low,medium,medium,regular,good,summer,good,weekend
373,low,Europe,low,medium,medium,medium,regular,bad,winter,bad,working
374,low,UK,low,high,medium,medium,regular,good,summer,good,working
377,low,Europe,low,low,low,low,increased,bad,winter,bad,weekend
379,high,UK,low,medium,high,medium,regular,good,summer,good,weekend
380,low,Europe,low,low,low,medium,regular,bad,fall,good,weekend
381,high,Europe,low,low,low,medium,regular,good,summer,good,holiday
384,high,Europe,low,low,medium,medium,regular,good,winter,bad,weekend
385,low,UK,low,low,low,medium,regular,bad,spring,bad,working
388,high,Europe,low,high,high,medium,regular,bad,spring,bad,weekend
390,high,Europe,low,low,medium,medium,regular,good,fall,good,working
391,high,US,high,high,high,medium,regular,good,spring,good,holiday
392,high,UK,low,low,low,medium,regular,good,spring,good,working
395,low,Europe,low,low,low,low,regular,bad,fall,bad,working
398,high,Europe,low,low,low,medium,regular,good,fall,good,working
399,low,UK,low,high,high,medium,regular,good,fall,good,working
400,low,US,low,medium,medium,medium,regular,bad,winter,bad,working
403,high,US,high,low,high,low,regular,bad,winter,bad,holiday
404,low,Europe,low,low,low,medium,regular,good,spring,good,weekend
406,low,US,low,low,low,low,increased,bad,spring,bad,working
410,high,US,low,medium,low,medium,regular,good,spring,good,working
411,low,Europe,low,medium,low,medium,regular,good,spring,good,working
412,low,Europe,high,medium,high,medium,regular,bad,winter,bad,working
417,low,US,low,low,low,medium,regular,bad,winter,bad,working
418,high,UK,low,low,low,low,regular,good,winter,good,holiday
419,high,Europe,high,high,high,low,regular,bad,winter,bad,holiday
420,low,US,low,low,low,medium,regular,bad,spring,bad,working
421,low,Europe,low,low,low,low,regular,bad,winter,bad,working
423,low,UK,low,high,high,medium,regular,bad,winter,bad,working
424,low,US,low,low,medium,medium,regular,bad,winter,bad,working
425,low,US,low,low,low,medium,regular,bad,spring,bad,working
431,low,US,low,medium,low,medium,regular,good,spring,good,working
432,low,Europe,low,medium,low,medium,regular,bad,winter,bad,weekend
433,low,US,low,low,low,medium,regular,bad,fall,bad,working
437,low,UK,low,medium,low,medium,increased,bad,winter,bad,working
438,low,US,low,low,low,medium,regular,bad,spring,bad,working
439,high,UK,low,low,low,medium,regular,good,winter,good,weekend
441,low,UK,low,low,medium,low,regular,bad,spring,bad,working
444,low,Europe,low,medium,medium,low,regular,bad,winter,bad,working
445,low,Europe,low,medium,high,low,regular,bad,spring,bad,working
446,high,US,low,medium,low,low,regular,bad,fall,bad,working
447,high,Europe,low,low,low,low,regular,bad,fall,bad,working
449,low,US,low,low,high,medium,regular,good,summer,good,working
450,low,Europe,low,low,low,medium,regular,good,fall,good,working
451,low,US,low,low,low,low,regular,bad,fall,bad,weekend
452,low,UK,low,medium,high,medium,regular,bad,spring,bad,weekend
454,high,US,low,low,low,medium,regular,good,spring,good,working
455,low,Europe,low,low,low,low,regular,bad,winter,bad,working
458,high,Europe,low,low,low,medium,regular,bad,spring,bad,working
459,low,Europe,low,medium,low,medium,regular,good,spring,good,working
460,high,Europe,low,low,low,low,regular,bad,winter,bad,working
463,low,Europe,low,low,high,low,regular,bad,fall,bad,working
467,low,Europe,low,high,high,medium,regular,good,summer,good,weekend
469,high,US,low,medium,high,medium,increased,good,spring,good,weekend
471,low,Europe,low,high,high,low,regular,good,fall,good,weekend
472,high,Europe,low,low,low,low,regular,good,winter,good,working
473,low,US,low,low,low,low,regular,bad,winter,bad,working
474,high,US,low,low,low,medium,regular,bad,winter,bad,working
476,high,Europe,low,medium,high,low,regular,good,winter,good,weekend
477,high,UK,low,medium,high,medium,regular,good,spring,good,weekend
480,high,US,low,low,low,medium,regular,good,summer,good,working
481,low,US,low,low,low,low,regular,bad,fall,bad,working
482,low,Europe,low,low,low,medium,increased,good,summer,good,working
484,low,Europe,low,low,low,medium,regular,good,summer,good,weekend
485,low,US,low,low,low,medium,regular,bad,fall,bad,weekend
490,low,Europe,low,low,medium,low,regular,bad,summer,bad,weekend
492,high,UK,low,low,low,low,regular,good,fall,good,weekend
496,low,UK,low,medium,medium,medium,regular,bad,winter,bad,weekend
497,low,UK,low,low,medium,medium,regular,bad,spring,bad,working
499,low,Europe,low,medium,medium,medium,regular,good,summer,good,holiday
501,high,US,high,high,low,medium,regular,bad,winter,good,working
502,low,US,low,low,low,low,regular,bad,spring,bad,working
503,low,Europe,low,medium,medium,medium,regular,good,spring,good,working
504,high,UK,low,low,low,low,regular,good,spring,good,working
505,low,Europe,low,low,low,medium,regular,good,spring,good,weekend
509,low,UK,low,low,low,medium,regular,bad,winter,bad,working
511,low,UK,low,low,medium,medium,regular,good,summer,good,working
512,high,UK,low,low,low,medium,regular,good,summer,good,working
515,high,Europe,low,medium,high,low,regular,good,spring,bad,working
516,low,Europe,low,medium,high,medium,regular,bad,fall,good,weekend
519,low,Europe,low,low,low,medium,regular,good,summer,good,working
520,high,US,high,medium,low,low,regular,bad,fall,bad,working
521,low,Europe,low,medium,medium,medium,regular,bad,winter,bad,working
523,low,US,low,low,low,medium,regular,good,fall,good,working
524,low,Europe,low,low,medium,low,regular,bad,winter,bad,weekend
527,low,UK,low,low,medium,low,regular,bad,fall,bad,weekend
530,low,Europe,low,medium,low,medium,regular,good,summer,bad,working
531,low,UK,high,high,medium,medium,regular,bad,fall,bad,weekend
532,low,UK,low,low,low,low,regular,bad,spring,bad,weekend
533,high,Europe,low,low,medium,low,regular,good,fall,good,working
535,low,Europe,low,high,medium,low,regular,good,fall,bad,weekend
536,low,Europe,low,medium,low,medium,regular,bad,winter,bad,working
540,low,Europe,low,low,low,medium,regular,bad,spring,bad,working
541,low,Europe,low,low,low,medium,regular,good,summer,good,working
543,low,Europe,low,low,low,medium,regular,bad,winter,bad,weekend
548,high,US,low,low,medium,medium,regular,good,summer,good,working
549,high,Europe,high,medium,high,medium,regular,bad,winter,bad,working
550,low,Europe,low,medium,high,medium,regular,good,summer,good,working
551,low,Europe,low,low,high,low,regular,good,summer,bad,working
552,high,Europe,low,medium,medium,medium,regular,good,summer,good,working
554,low,US,low,low,medium,medium,regular,good,winter,good,working
556,low,US,low,low,low,low,regular,bad,fall,good,working
557,high,UK,low,low,low,low,regular,good,fall,good,working
558,low,UK,low,low,low,low,regular,bad,summer,bad,weekend
559,low,Europe,low,high,medium,medium,regular,bad,spring,good,working
561,low,Europe,low,low,high,medium,regular,good,fall,good,working
563,high,US,low,medium,low,medium,regular,good,summer,good,working
564,low,Europe,low,low,medium,medium,regular,good,summer,good,holiday
566,high,US,low,medium,low,medium,regular,good,fall,good,weekend
567,high,US,low,low,low,medium,regular,good,fall,good,working
568,low,US,low,high,high,medium,regular,good,spring,good,working
569,high,UK,low,low,low,medium,regular,good,fall,good,weekend
571,low,Europe,low,low,low,low,regular,bad,spring,bad,weekend
573,high,US,low,low,low,medium,regular,good,fall,good,weekend
584,high,US,high,low,low,low,regular,good,fall,good,holiday
587,low,US,low,low,low,medium,regular,bad,spring,good,working
588,low,Europe,low,low,low,low,increased,bad,fall,bad,working
590,low,Europe,low,low,low,medium,regular,bad,spring,bad,working
593,high,UK,low,low,low,low,regular,good,winter,bad,working
594,low,US,low,low,low,medium,regular,bad,spring,bad,weekend
595,low,US,low,low,medium,medium,increased,good,fall,good,working
597,high,UK,low,low,high,low,regular,bad,spring,bad,working
598,high,Europe,low,low,low,medium,regular,good,summer,good,working
599,low,Europe,low,low,low,medium,regular,good,spring,bad,working
600,low,UK,low,low,low,medium,increased,good,winter,good,weekend
603,low,Europe,low,low,low,low,regular,bad,winter,bad,weekend
604,high,Europe,low,medium,medium,low,regular,good,spring,good,working
605,low,Europe,low,low,low,low,regular,bad,fall,bad,working
606,low,Europe,low,medium,low,low,regular,bad,winter,bad,working
608,high,Europe,low,medium,high,low,regular,good,fall,bad,working
609,low,US,low,medium,high,medium,increased,good,summer,bad,weekend
610,low,UK,low,low,low,medium,regular,bad,winter,bad,working
613,high,US,high,high,high,medium,regular,good,fall,good,weekend
615,high,UK,low,medium,medium,medium,increased,good,summer,good,working
617,high,US,high,high,low,medium,regular,bad,winter,bad,working
619,low,Europe,low,medium,medium,medium,regular,bad,winter,bad,working
621,high,UK,low,low,low,medium,regular,good,winter,bad,working
628,low,Europe,low,low,low,low,regular,good,fall,bad,weekend
629,high,Europe,low,low,low,medium,regular,good,spring,bad,working
630,high,US,low,low,low,medium,regular,good,spring,good,working
632,high,UK,low,low,low,low,regular,bad,fall,bad,working
634,low,Europe,low,low,low,low,regular,bad,winter,bad,weekend
636,high,US,low,medium,low,medium,regular,good,spring,good,holiday
637,low,Europe,low,low,high,medium,regular,good,winter,good,holiday
638,low,UK,low,low,low,medium,regular,bad,fall,good,working
639,low,Europe,low,low,low,medium,regular,good,spring,good,weekend
642,low,Europe,low,medium,low,medium,regular,good,winter,good,weekend
643,low,Europe,low,medium,low,low,regular,bad,winter,bad,weekend
644,low,Europe,low,low,medium,medium,regular,bad,fall,bad,working
645,high,US,low,low,medium,low,regular,good,fall,good,working
647,high,UK,low,low,low,medium,regular,bad,winter,bad,working
648,low,Europe,low,low,low,medium,regular,bad,winter,bad,working
649,low,US,low,low,high,medium,regular,bad,spring,good,working
650,high,Europe,low,low,low,medium,regular,good,summer,good,weekend
651,high,Europe,high,high,high,medium,regular,good,fall,good,weekend
653,low,Europe,low,high,high,medium,regular,bad,winter,good,working
655,low,Europe,low,low,medium,medium,regular,bad,winter,bad,working
656,low,Europe,low,medium,medium,medium,regular,bad,spring,bad,holiday
657,high,US,low,low,low,medium,regular,good,summer,good,working
663,high,US,low,low,low,medium,regular,bad,spring,bad,weekend
666,low,Europe,low,medium,low,medium,regular,good,spring,good,weekend
669,high,UK,low,medium,low,medium,regular,good,fall,good,working
670,low,Europe,low,low,low,low,regular,bad,winter,bad,weekend
672,low,Europe,low,low,low,medium,regular,bad,spring,bad,weekend
673,low,Europe,low,medium,low,medium,regular,bad,fall,bad,holiday
674,low,US,low,medium,high,medium,regular,good,fall,good,weekend
675,high,US,low,medium,low,low,regular,good,summer,good,working
678,low,UK,low,low,medium,low,regular,good,summer,good,working
679,low,UK,low,low,low,medium,regular,bad,summer,bad,working
680,high,US,low,medium,high,medium,regular,good,summer,good,weekend
681,low,UK,low,medium,high,medium,regular,good,fall,good,weekend
682,high,UK,low,low,high,medium,regular,good,spring,good,working
683,high,Europe,low,low,low,medium,regular,good,spring,good,working
684,low,Europe,low,low,low,low,regular,bad,winter,bad,working
688,low,Europe,low,high,high,medium,regular,bad,fall,good,weekend
689,low,Europe,low,medium,high,medium,regular,good,spring,good,working
691,high,Europe,low,high,medium,medium,regular,bad,spring,bad,working
693,high,Europe,high,medium,medium,low,regular,bad,fall,bad,working
698,high,UK,low,low,low,medium,regular,good,fall,good,working
699,low,Europe,low,high,high,medium,increased,good,summer,good,working
701,low,Europe,low,low,low,medium,regular,good,summer,bad,weekend
702,high,US,low,low,low,medium,regular,good,spring,good,weekend
703,low,US,low,low,medium,low,regular,good,winter,good,working
704,low,Europe,low,low,medium,low,regular,bad,fall,bad,weekend
709,high,UK,low,low,medium,medium,regular,good,fall,good,working
710,high,Europe,low,low,medium,medium,regular,good,fall,good,working
711,high,Europe,low,low,low,medium,regular,bad,winter,bad,weekend
712,low,UK,low,low,low,low,regular,bad,fall,bad,working
713,low,Europe,low,low,low,medium,regular,bad,spring,good,working
714,low,Europe,low,high,medium,low,regular,bad,summer,bad,working
715,high,US,low,low,low,low,regular,bad,winter,bad,holiday
717,high,US,high,high,high,medium,regular,bad,winter,bad,working
718,high,Europe,low,medium,medium,medium,regular,good,fall,good,weekend
719,high,US,low,medium,high,medium,regular,good,fall,good,working
720,high,Europe,low,low,medium,medium,regular,good,summer,good,working
721,low,UK,low,low,low,medium,increased,bad,fall,good,working
722,low,UK,low,high,medium,medium,regular,bad,fall,good,working
723,low,US,low,low,medium,medium,regular,good,summer,good,weekend
724,low,Europe,low,high,medium,medium,regular,good,spring,bad,weekend
727,low,Europe,low,low,low,low,regular,bad,winter,bad,working
731,low,US,low,low,medium,medium,increased,good,fall,good,working
732,low,Europe,low,high,medium,low,regular,good,summer,good,weekend
734,low,US,low,low,low,low,regular,bad,fall,bad,working
735,low,UK,low,low,low,low,regular,bad,winter,bad,weekend
736,high,Europe,low,medium,medium,medium,regular,bad,summer,bad,holiday
738,low,US,low,high,high,medium,regular,bad,spring,bad,working
740,high,US,low,medium,high,medium,regular,good,summer,good,working
741,low,UK,low,low,medium,medium,regular,bad,summer,good,holiday
742,high,Europe,low,medium,medium,low,regular,bad,winter,bad,working
743,low,Europe,low,low,low,medium,regular,good,winter,good,working
744,low,US,low,low,medium,medium,regular,bad,fall,bad,working
747,low,Europe,low,low,low,low,regular,good,summer,good,weekend
748,high,Europe,low,medium,medium,medium,regular,good,fall,good,weekend
749,high,UK,low,low,high,medium,regular,good,fall,good,working
750,low,US,low,medium,low,medium,regular,bad,spring,bad,weekend
751,high,Europe,low,medium,medium,medium,regular,good,summer,good,working
752,high,US,low,medium,high,medium,regular,good,fall,good,holiday
753,low,UK,high,medium,high,low,regular,bad,winter,bad,working
754,high,Europe,high,high,high,medium,regular,good,summer,good,weekend
756,low,Europe,low,low,low,medium,regular,good,fall,good,working
757,low,UK,low,low,medium,low,regular,bad,winter,bad,working
758,low,Europe,low,high,medium,medium,regular,good,summer,good,weekend
759,high,Europe,low,medium,low,medium,regular,good,summer,good,working
760,low,US,low,low,medium,medium,regular,good,fall,good,holiday
764,low,US,low,high,medium,medium,regular,good,fall,good,weekend
765,high,US,low,low,low,low,regular,good,spring,good,working
768,low,UK,low,low,low,low,increased,bad,winter,bad,working
769,high,Europe,low,low,medium,medium,regular,bad,spring,bad,holiday
770,high,Europe,low,medium,medium,medium,regular,bad,fall,good,working
772,low,Europe,low,medium,low,medium,regular,bad,summer,good,working
774,low,Europe,low,high,high,medium,regular,bad,winter,bad,working
775,low,Europe,low,low,low,medium,regular,bad,fall,bad,weekend
776,low,Europe,low,low,low,medium,regular,bad,winter,bad,working
777,low,US,low,high,medium,medium,regular,good,spring,good,weekend
778,low,Europe,low,low,low,low,regular,bad,winter,bad,working
779,low,US,low,high,low,medium,regular,bad,winter,good,working
780,high,Europe,low,medium,medium,medium,regular,good,winter,good,working
781,high,Europe,high,low,low,low,regular,bad,fall,bad,weekend
787,high,UK,low,low,low,medium,regular,good,summer,good,working
790,high,Europe,low,low,low,medium,regular,good,spring,good,working
791,high,Europe,low,medium,medium,medium,regular,bad,spring,bad,working
792,low,Europe,low,high,medium,low,regular,bad,fall,good,working
793,high,Europe,low,low,medium,medium,regular,good,fall,good,working
795,high,UK,high,medium,medium,medium,regular,bad,spring,bad,working
796,low,US,low,medium,low,low,regular,bad,winter,bad,weekend
797,high,US,low,low,medium,low,regular,bad,summer,bad,working
800,high,Europe,low,high,medium,medium,regular,good,summer,good,weekend
802,high,UK,low,low,low,medium,regular,good,summer,good,working
803,high,US,low,low,low,medium,regular,good,winter,good,weekend
805,high,US,high,high,low,medium,regular,bad,spring,bad,working
806,high,Europe,low,medium,medium,medium,regular,bad,spring,good,working
809,high,Europe,high,low,low,low,regular,good,fall,good,working
810,high,US,low,high,medium,medium,regular,good,summer,good,weekend
811,low,Europe,low,low,low,low,regular,bad,winter,good,working
812,low,Europe,low,medium,high,medium,regular,good,fall,bad,working
813,low,Europe,low,low,low,medium,regular,bad,fall,bad,holiday
814,high,Europe,low,high,high,medium,regular,good,summer,good,working
816,high,Europe,low,low,low,medium,increased,good,winter,good,working
819,low,US,low,low,low,medium,regular,bad,winter,bad,weekend
